BorrName	BorrStreet	BorrCity	BorrState	BorrZip	BankName	GrossApproval	ApprovalDate
Martin Castillo & Manuel A. Ca	5800 Third Street #1003 & 100	San Francisco	CA	94124	Redwood CU	635000.00	2013-01-04
FitPFSF, Inc.	340 Sansome Street	San Francisco	CA	94104	Umpqua Bank	1000000.00	2013-01-08
HWA RANG KWAN MARTIAL ARTS CEN	371 5TH ST	SAN FRANCISCO	CA	94107	U.S. Bank National Association	30000.00	2013-01-09
NEILL & LEE GENERAL CONTRACTOR	84 PROSPECT AVE	SAN FRANCISCO	CA	94110	Wells Fargo Bank, National Ass	50000.00	2013-01-11
VIP Grooming	4299 24th Street	SAN FRANCISCO	CA	94114	OBDC Small Business Finance	100000.00	2013-01-22
Versus Games LLC	1716 Taraval Street	SAN FRANCISCO	CA	94116	Sterling Savings Bank d.b.a Ar	50000.00	2013-01-30
Kent M. Lim Company, Inc.	1260 Egbert Avenue	San Francisco	CA	94124	Bank of the Orient	920000.00	2013-01-31
17th Street Oliveira Chiroprac	3705 17th Street	SAN FRANCISCO	CA	94114	Celtic Bank Corporation	92600.00	2013-02-12
RESTORATION MEMORIES	921 VALLEJO ST	SAN FRANCISCO	CA	94133	Wells Fargo Bank, National Ass	5000.00	2013-02-16
Home Care Options, San Francis	1 Daniel Burnham Court suite	SAN FRANCISCO	CA	94109	American National Bank	829300.00	2013-02-18
SBhimani LLC	908 Sutter Street	SAN FRANCISCO	CA	94109	BBCN Bank	500000.00	2013-02-19
Lilitab LLC	2339 3rd St. Ste 59	SAN FRANCISCO	CA	94107	OBDC Small Business Finance	250000.00	2013-02-21
Chiwi LLC	4119-4123 24th. Street	SAN FRANCISCO	CA	94114	Bank of San Francisco	1400000.00	2013-02-22
Y Studios, LLC	151 Vermont St. #10	SAN FRANCISCO	CA	94103	U.S. Bank National Association	1000000.00	2013-02-25
JNB FINANCE LLC	1547 CLAY ST APT 301	SAN FRANCISCO	CA	94109	Wells Fargo Bank, National Ass	25000.00	2013-02-27
Amir Akbari and Maryam Emami	4612 - 4614 3rd Street	SAN FRANCISCO	CA	94124	Wells Fargo Bank, National Ass	441100.00	2013-03-01
Growing Tree Child Care	1984 Great Hwy	SAN FRANCISCO	CA	94116	Wells Fargo Bank, National Ass	767000.00	2013-03-01
Five Flavors Herbs	350 SANSOME ST  Suite 730	SAN FRANCISCO	CA	94104	U.S. Bank National Association	10000.00	2013-03-06
ENA	323 Grant Ave	SAN FRANCISCO	CA	94108	JPMorgan Chase Bank, National	90900.00	2013-03-12
Rubicon Insurance Services, LL	150 California St Ste 225	SAN FRANCISCO	CA	94111	JPMorgan Chase Bank, National	25300.00	2013-03-13
GRAND FINISHES	336 CLAREMONT BLVD #5	SAN FRANCISCO	CA	94127	Citibank, N.A.	50000.00	2013-03-15
130 Grand Holdings, Inc.	5030 Geary Blvd.	San Francisco	CA	94118	City National Bank	425000.00	2013-03-17
Puente Bagels, Inc.	5030 Geary Blvd.	San Francisco	CA	94118	City National Bank	50000.00	2013-03-17
Brian Gross Fine Art, Inc.	248 Utah st	SAN FRANCISCO	CA	94123	Redwood CU	350000.00	2013-03-27
Wolfe's Lunch	1220 16th St.	San Francisco	CA	94107	Hanmi Bank	120000.00	2013-03-30
Chow, LLC	1240 Ninth Ave	San Francisco	CA	94122	Bay Commercial Bank	1486900.00	2013-04-08
529 Commercial Street Associat	40 HOTALING	SAN FRANCISCO	CA	94111	Wells Fargo Bank, National Ass	1366800.00	2013-04-09
Spectrum It Consulting Inc	130 GARDENSIDE DR Suite 304	SAN FRANCISCO	CA	94131	U.S. Bank National Association	20000.00	2013-04-17
NEWBS 0168, LLC	1245 Folsom St.	San Francisco	CA	94103	Wells Fargo Bank, National Ass	2594000.00	2013-04-22
BRS Media, Inc.	55 New Montgomery St Suite 6	SAN FRANCISCO	CA	94105	Bank of America, National Asso	200000.00	2013-04-25
Jeffrey W.T. Mark	1888 Clement Street	SAN FRANCISCO	CA	94121	Wells Fargo Bank, National Ass	680000.00	2013-04-25
The Royal Exchange Restaurant	301 Sacramento St	San Francisco	CA	94111	Bank of the Orient	450000.00	2013-04-26
We Be Knives	2 Beach Street #216 Pier 39	SAN FRANCISCO	CA	94103	Travis CU	190000.00	2013-05-01
T & M Restaurant Enterprises,	708 Bush Street	San Francisco	CA	94121	Bay Commercial Bank	900000.00	2013-05-08
